Year,Year,Net Income,stock
2017,2017,16.562284850399998,TM
2018,2018,22.535567911199998,TM
2019,2019,17.0148062944,TM
2020,2020,18.462874915199997,TM
2021,2021,20.36346498,TM
2017,2017,5.5802229345416,HMC
2018,2018,9.593454612799999,HMC
2019,2019,5.5236577540416,HMC
2020,2020,4.1247329620599995,HMC
2021,2021,5.950023458578399,HMC
2016,2016,9.43,GM
2017,2017,0.348,GM
2018,2018,8.08,GM
2019,2019,6.73,GM
2020,2020,6.43,GM
2016,2016,8.53,DDAIF
2017,2017,10.28,DDAIF
2018,2018,7.25,DDAIF
2019,2019,2.38,DDAIF
2020,2020,3.63,DDAIF
2016,2016,5.14,VLKPF
2017,2017,11.18,VLKPF
2018,2018,11.83,VLKPF
2019,2019,13.35,VLKPF
2020,2020,8.33,VLKPF
2016,2016,6.86,BAMXF
2017,2017,8.59,BAMXF
2018,2018,7.01,BAMXF
2019,2019,4.87,BAMXF
2020,2020,3.78,BAMXF
2017,2017,6.00495956188,NSANY
2018,2018,6.7596748261832,NSANY
2019,2019,2.8883538727631994,NSANY
2020,2020,-6.074828872833599,NSANY
2021,2021,-4.060927438456,NSANY
2016,2016,4.7068445011,HYMTF
2017,2017,3.5062076413,HYMTF
2018,2018,1.3137403320999999,HYMTF
2019,2019,2.5926795958,HYMTF
2020,2020,1.2354379281999999,HYMTF
2016,2016,4.6,F
2017,2017,0,F
2018,2018,3.68,F
2019,2019,0.047,F
2020,2020,-1.28,F
2016,2016,1.8,STLA
2017,2017,3.28,STLA
2018,2018,3.32,STLA
2019,2019,2.69,STLA
2020,2020,0.029,STLA
