Year,Net Income,Sales/Revenue,stock,ratio
2017-01-01,16.6119804768,250.72,TM,6.625710145500957
2018-01-01,22.6031865504,266.7,TM,8.475135564454444
2019-01-01,17.0658597248,274.32,TM,6.221150380869058
2020-01-01,18.881376716800002,271.69,TM,6.949603120026501
2021-01-01,20.42456616,247.0,TM,8.269055125506073
2017-01-01,5.596966558787201,127.09,HMC,4.4039393805863565
2018-01-01,9.6222400576,139.43,HMC,6.9011260543641955
2019-01-01,5.540231652787201,144.24,HMC,3.8409814564525795
2020-01-01,4.13710934552,135.53,HMC,3.052541389743968
2021-01-01,5.9678766802527985,119.55,HMC,4.991950380805353
2016-01-01,9.43,149.18,GM,6.321222684005899
2017-01-01,0.348,145.59,GM,0.23902740572841538
2018-01-01,8.08,147.05,GM,5.494729683781027
2019-01-01,6.73,137.24,GM,4.903818128825415
2020-01-01,6.43,122.49,GM,5.249408114948159
2016-01-01,8.53,182.53,DDAIF,4.673204404755382
2017-01-01,10.28,195.5,DDAIF,5.258312020460357
2018-01-01,7.25,199.32,DDAIF,3.6373670479630746
2019-01-01,2.38,205.74,DDAIF,1.1567998444638863
2020-01-01,3.63,183.78,DDAIF,1.9751877244531504
2016-01-01,5.14,258.76,VLKPF,1.9863966609986086
2017-01-01,11.18,273.39,VLKPF,4.0893961008083695
2018-01-01,11.83,280.89,VLKPF,4.211613086973549
2019-01-01,13.35,300.88,VLKPF,4.436984844456262
2020-01-01,8.33,265.45,VLKPF,3.1380674326615186
2016-01-01,6.86,112.14,BAMXF,6.117353308364545
2017-01-01,8.59,117.05,BAMXF,7.338744126441692
2018-01-01,7.01,115.36,BAMXF,6.076629680998613
2019-01-01,4.87,124.11,BAMXF,3.923938441704939
2020-01-01,3.78,117.9,BAMXF,3.206106870229007
2017-01-01,6.02297762096,106.39,NSANY,5.6612253228310925
2018-01-01,6.779957430774401,108.48,NSANY,6.249960758457227
2019-01-01,2.8970204641344,105.03,NSANY,2.758279028976864
2020-01-01,-6.0930565768512,89.69,NSANY,-6.793462567567399
2021-01-01,-4.073112371552,71.35,NSANY,-5.708636820675543
2016-01-01,4.7823227112,82.78,HYMTF,5.777147512925827
2017-01-01,3.5624326296000004,85.2,HYMTF,4.181258954929578
2018-01-01,1.3348072631999999,85.58,HYMTF,1.5597186996961907
2019-01-01,2.6342553936,93.48,HYMTF,2.8179882259306805
2020-01-01,1.2552492144,91.93,HYMTF,1.3654402419232023
2016-01-01,4.6,151.8,F,3.03030303030303
2017-01-01,7.73,156.78,F,4.930475825998214
2018-01-01,3.68,160.34,F,2.2951228639141825
2019-01-01,0.047,155.9,F,0.030147530468248876
2020-01-01,-1.28,127.14,F,-1.006764196948246
2016-01-01,1.8,132.22,STLA,1.3613674179397972
2017-01-01,3.28,125.92,STLA,2.604828462515883
2018-01-01,3.32,131.5,STLA,2.5247148288973382
2019-01-01,2.69,128.85,STLA,2.087698874660458
2020-01-01,0.028999999999999998,103.23,STLA,0.028092608737770027
