Year,Year.1,Sales/Revenue,Sales Growth,Cost of Goods Sold (COGS) incl. D&A,COGS Growth,COGS excluding D&A,Depreciation & Amortization Expense,Depreciation,Amortization of Intangibles,Gross Income,Gross Income Growth,Gross Profit Margin,SG&A Expense,SGA Growth,Research & Development,Other SG&A,Other Operating Expense,Unusual Expense,EBIT after Unusual Expense,Non Operating Income/Expense,Non-Operating Interest Income,Equity in Affiliates (Pretax),Interest Expense,Interest Expense Growth,Gross Interest Expense,Interest Capitalized,Pretax Income,Pretax Income Growth,Pretax Margin,Income Tax,Income Tax - Current Domestic,Income Tax - Current Foreign,Income Tax - Deferred Domestic,Income Tax - Deferred Foreign,Income Tax Credits,Equity in Affiliates,Other After Tax Income (Expense),Consolidated Net Income,Minority Interest Expense,Net Income,Net Income Growth,Net Margin Growth,Extraordinaries & Discontinued Operations,Extra Items & Gain/Loss Sale Of Assets,Cumulative Effect - Accounting Chg,Discontinued Operations,Net Income After Extraordinaries,Preferred Dividends,Net Income Available to Common,EPS (Basic),EPS (Basic) Growth,Basic Shares Outstanding,EPS (Diluted),EPS (Diluted) Growth,Diluted Shares Outstanding,EBITDA,EBITDA Growth,EBITDA Margin,stock
2017-01-01,2017,249.97,-,22.68T,-,21.06T,1.61T,1.61T,-,4.95T,-,-,2.87T,-,1.04T,1.83T,-,(28.66B),2.11T,(41.79B),158.98B,-,29.35B,-,29.35B,-,2.19T,-,-,628.9B,435.56B,246.64B,(21.76B),(31.54B),-,362.06B,-,1.93T,95.88B,1.83T,-,-,-,-,-,-,1.83T,9.8B,1.82T,605.47,-,3.01B,599.22,-,3.06B,3.69T,-,-,TM
2018-01-01,2018,265.9,6.38%,23.94T,5.57%,22.2T,1.73T,1.73T,-,5.45T,10.11%,-,3.09T,7.74%,1.06T,2.03T,-,(152.67B),2.51T,(39.41B),179.54B,-,27.59B,-6.02%,27.59B,-,2.62T,19.45%,-,504.41B,566B,176.37B,45.1B,(283.06B),-,470.08B,-,2.59T,92.12B,2.49T,36.20%,-,-,-,-,-,2.49T,12.29B,2.48T,842.0,39.07%,2.95B,832.78,38.98%,2.99B,4.09T,10.87%,-,TM
2019-01-01,2019,273.5,2.86%,24.8T,3.59%,23.01T,1.79T,1.79T,-,5.43T,-0.35%,-,2.98T,-3.69%,1.05T,1.93T,-,324.84B,2.13T,(37.2B),225.5B,-,28.08B,1.78%,28.08B,-,2.29T,-12.78%,-,659.94B,599.52B,147.02B,(110.61B),24.01B,-,360.07B,-,1.99T,102.71B,1.88T,-24.50%,-,-,-,-,-,1.88T,14.79B,1.87T,650.55,-22.74%,2.87B,645.11,-22.54%,2.92B,4.24T,3.75%,-,TM
2020-01-01,2020,270.34,-1.18%,24.49T,-1.26%,22.89T,1.6T,-,-,5.38T,-0.83%,-,2.98T,0.19%,1.11T,1.87T,-,-,-,8.79B,121.83B,-,47.16B,67.94%,47.16B,-,2.48T,8.63%,-,681.82B,484.67B,4.38B,95.27B,97.5B,-,310.25B,-,2.11T,74.99B,2.04T,8.14%,-,-,-,-,-,2.04T,-,2.04T,727.47,11.82%,2.8B,720.1,11.62%,2.85B,3.99T,-5.84%,-,TM
2021-01-01,2021,246.26,-8.88%,22.38T,-8.59%,20.74T,1.64T,-,-,4.83T,-10.20%,17.76%,2.63T,-11.65%,1.09T,1.54T,-,-,-,325.51B,105.6B,-,47.54B,0.81%,47.54B,-,2.58T,3.97%,9.49%,649.98B,403.23B,522.86B,(23.79B),(252.32B),-,351.03B,-,2.28T,37.12B,2.25T,10.27%,8.25%,-,-,-,-,2.25T,-,2.25T,803.23,10.41%,2.8B,794.67,10.36%,2.84B,3.84T,-3.82%,14.12%,TM
2017-01-01,2017,126.71,-,11.02T,-,9.68T,1.34T,-,-,2.98T,-,-,2.14T,-,538.88B,1.6T,-,51.42B,789.3B,32.98B,32.39B,164.79B,12.47B,-,12.47B,-,1.01T,-,-,327.59B,196.15B,-,131.44B,-,-,-,-,679.39B,62.83B,616.57B,-,-,-,-,-,-,616.57B,-,616.57B,342.1,-,1.8B,342.1,-,1.8B,2.18T,-,-,HMC
2018-01-01,2018,139.01,9.73%,12.15T,10.31%,10.7T,1.45T,1.26T,195.94B,3.21T,7.58%,-,2.37T,10.89%,597.93B,1.78T,-,(67.13B),900.69B,(61.58B),41.19B,247.64B,12.97B,4.00%,12.97B,-,1.11T,10.72%,-,(13.67B),(2.96B),280.32B,25.15B,(316.18B),-,-,-,1.13T,69.3B,1.06T,71.81%,-,-,-,-,-,1.06T,-,1.06T,590.79,72.70%,1.79B,590.79,72.70%,1.79B,2.29T,5.08%,-,HMC
2019-01-01,2019,143.81,3.43%,12.73T,4.73%,11.26T,1.47T,1.28T,188.57B,3.16T,-1.47%,-,2.43T,2.53%,658.81B,1.77T,-,54.9B,671.47B,43.67B,48.62B,228.83B,13.22B,1.90%,13.22B,-,979.38B,-12.16%,-,303.09B,32.94B,183.83B,58.12B,28.2B,-,-,-,676.29B,65.97B,610.32B,-42.39%,-,-,-,-,-,610.32B,-,610.32B,345.99,-41.44%,1.76B,345.99,-41.44%,1.76B,2.2T,-4.05%,-,HMC
2020-01-01,2020,135.12,-6.03%,11.99T,-5.82%,10.53T,1.46T,1.29T,171.38B,2.94T,-6.86%,-,2.31T,-5.10%,667.62B,1.64T,-,19.27B,614.37B,(13.38B),49.41B,164.2B,24.69B,86.80%,24.69B,-,789.92B,-19.34%,-,279.99B,11.04B,233.57B,17.47B,17.91B,-,-,-,509.93B,54.19B,455.75B,-25.33%,-,-,-,-,-,455.75B,-,455.75B,260.13,-24.82%,1.75B,260.13,-24.82%,1.75B,2.1T,-4.56%,-,HMC
2021-01-01,2021,119.19,-11.79%,10.58T,-11.71%,9.16T,1.43T,1.25T,175.09B,2.59T,-12.12%,19.64%,1.93T,-16.60%,594.1B,1.33T,-,(15.1B),675.31B,(39.92B),19.81B,-,13.88B,-43.79%,13.88B,-,641.32B,-18.81%,4.87%,218.61B,7.24B,174.69B,(21.23B),57.91B,-,272.73B,-,695.44B,38.02B,657.43B,44.25%,4.99%,-,-,-,-,657.43B,-,657.43B,380.75,46.37%,1.73B,380.75,46.37%,1.73B,2.09T,-0.46%,15.83%,HMC
